,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance,year,Month,Date,Day,Hour,Minute
0,4.5,2009-06-15 17:26:21,-73.844311,40.721319,-73.84161,40.712278000000005,1.0,1.030763935048818,2009,6,15,0,17,26
2,5.7,2011-08-18 00:35:00,-73.982738,40.76127,-73.991242,40.750562,2.0,1.3895252257697308,2011,8,18,3,0,35
3,7.7,2012-04-21 04:30:42,-73.98713000000001,40.733143,-73.991567,40.758092,1.0,2.799270239983498,2012,4,21,5,4,30
4,5.3,2010-03-09 07:51:00,-73.96809499999999,40.768008,-73.956655,40.783762,1.0,1.9991567879958214,2010,3,9,1,7,51
5,12.1,2011-01-06 09:50:45,-74.000964,40.731629999999996,-73.972892,40.758233000000004,1.0,3.7872390847830966,2011,1,6,3,9,50
6,7.5,2012-11-20 20:35:00,-73.980002,40.751661999999996,-73.973802,40.764842,1.0,1.555806659350719,2012,11,20,1,20,35
7,16.5,2012-01-04 17:22:00,-73.9513,40.774138,-73.990095,40.751048,1.0,4.155444291845812,2012,1,4,2,17,22
9,8.9,2009-09-02 01:11:00,-73.98065799999999,40.733872999999996,-73.99154,40.758138,2.0,2.8496267961080646,2009,9,2,2,1,11
10,5.3,2012-04-08 07:30:50,-73.996335,40.737142,-73.980721,40.733559,1.0,1.374576999593841,2012,4,8,6,7,30
12,4.1,2009-11-06 01:04:03,-73.991601,40.744712,-73.983081,40.744682,2.0,0.7177674874531168,2009,11,6,4,1,4
13,7.0,2013-07-02 19:54:00,-74.00536,40.728867,-74.008913,40.710907,1.0,2.0193838271979137,2013,7,2,1,19,54
14,7.7,2011-04-05 17:11:05,-74.00182099999999,40.737547,-73.99806,40.722788,2.0,1.6714445980751202,2011,4,5,1,17,11
16,12.5,2014-02-19 07:22:00,-73.98643,40.760465,-73.98899,40.737075,1.0,2.609774493745362,2014,2,19,2,7,22
17,5.3,2009-07-22 16:08:00,-73.98106,40.73769,-73.99417700000001,40.728412,1.0,1.5119042477196891,2009,7,22,2,16,8
18,5.3,2010-07-07 14:52:00,-73.969505,40.784843,-73.958732,40.783357,1.0,0.9219517182545394,2010,7,7,2,14,52
19,4.0,2014-12-06 20:36:22,-73.979815,40.751902,-73.979446,40.755481,1.0,0.39917857039885574,2014,12,6,5,20,36
20,10.5,2010-09-07 13:18:00,-73.985382,40.747858,-73.97837700000001,40.76207,1.0,1.6868613301693776,2010,9,7,1,13,18
21,11.5,2013-02-12 12:15:46,-73.957954,40.779252,-73.96125,40.758787,1.0,2.2924697999176953,2013,2,12,1,12,15
22,4.5,2009-08-06 18:17:23,-73.99170699999999,40.770505,-73.98545899999999,40.763671,1.0,0.9242957326389409,2009,8,6,3,18,17
23,4.9,2010-12-06 12:29:00,-74.000632,40.747473,-73.986672,40.740577,1.0,1.4039581786018265,2010,12,6,0,12,29
24,6.1,2009-12-10 15:37:00,-73.969622,40.756972999999995,-73.98115200000001,40.759712,1.0,1.0177730882293243,2009,12,10,3,15,37
25,7.3,2011-06-21 16:15:00,-73.991875,40.754437,-73.97723,40.774322999999995,3.0,2.531946697192564,2011,6,21,1,16,15
27,4.5,2011-06-28 19:47:00,-73.988893,40.76016,-73.98644499999999,40.757857,3.0,0.3287708526849877,2011,6,28,1,19,47
28,9.3,2012-05-04 06:11:20,-73.98925799999999,40.690835,-74.004133,40.72569,1.0,4.073463090487497,2012,5,4,4,6,11
29,4.5,2013-08-11 00:52:00,-73.98102,40.737759999999994,-73.98066800000001,40.730497,2.0,0.8081531607879715,2013,8,11,6,0,52
30,5.5,2014-02-19 16:03:00,-73.976075,40.752421999999996,-73.981082,40.759285,1.0,0.8719132690002338,2014,2,19,2,16,3
33,5.7,2011-09-07 14:05:00,-73.976162,40.744988,-73.990002,40.738323,2.0,1.381588506597531,2011,9,7,2,14,5
36,4.5,2015-03-12 08:08:38,-73.99017334,40.75644684,-73.98561859,40.76282883,1.0,0.806699283426312,2015,3,12,3,8,8
37,5.3,2012-01-19 10:15:30,-73.995199,40.754740000000005,-74.005416,40.751084000000006,1.0,0.9518008399110728,2012,1,19,3,10,15
38,9.0,2013-11-24 11:42:00,-73.95774,40.773617,-73.977087,40.758465,6.0,2.3438024765581496,2013,11,24,6,11,42
39,9.8,2009-03-02 20:42:49,-73.972673,40.759186,-73.969897,40.791367,1.0,3.585990714379401,2009,3,2,0,20,42
40,8.1,2011-03-29 15:39:49,-73.984267,40.744960999999996,-73.981646,40.759608,1.0,1.6435680593541326,2011,3,29,1,15,39
41,10.9,2011-10-15 10:55:24,-74.003899,40.725514000000004,-73.976484,40.765537,2.0,5.01393582737547,2011,10,15,5,10,55
42,17.5,2013-11-22 08:38:09,-73.97845,40.76292,-74.008482,40.716502,1.0,5.7482588406091795,2013,11,22,4,8,38
43,12.1,2009-06-10 21:28:00,-73.988558,40.7372,-73.958688,40.780747999999996,1.0,5.456870473289842,2009,6,10,2,21,28
44,5.3,2011-03-04 18:12:00,-73.997037,40.737095000000004,-73.98612800000001,40.735043,1.0,0.9470360672677621,2011,3,4,4,18,12
45,6.9,2011-08-31 21:14:15,-73.971114,40.758944,-73.97793,40.736613,1.0,2.548615186304444,2011,8,31,2,21,14
46,4.5,2011-06-01 20:30:00,-73.980822,40.74442,-73.991093,40.748796999999996,1.0,0.9927377363020589,2011,6,1,2,20,30
47,3.3,2011-12-14 07:53:00,-73.988877,40.763577000000005,-73.985573,40.760262,1.0,0.46185347052117215,2011,12,14,2,7,53
48,3.3,2012-07-18 00:16:00,-73.98666,40.756071999999996,-73.989727,40.751702,5.0,0.5503272397647533,2012,7,18,2,0,16
49,9.0,2013-01-29 12:26:00,-73.992253,40.742657,-73.983597,40.755947,1.0,1.6478832232050487,2013,1,29,1,12,26
50,9.7,2011-12-06 09:09:21,-73.985582,40.739765000000006,-73.973899,40.760426,1.0,2.4993156172302147,2011,12,6,1,9,9
51,5.5,2012-10-06 20:31:36,-73.952825,40.772048,-73.95219399999999,40.781152,3.0,1.0137120089985319,2012,10,6,5,20,31
